Date,HDB,INFY,MMYT,RDY,REDFY,TTM,VEDL,WIT,WNS
3/23/2018,96.01,17.73,33.25,31.93,0.18,24.9,17.05,5.16,45.99
3/22/2018,96.88,17.69,33.55,32.37,0.18,25.5,17.81,5.07,47.1
3/21/2018,97.59,18.04,35.15,33.17,0.2,25.8,19.31,5.2,48.13
3/20/2018,97.02,18.21,34.5,33.29,0.18,25.72,19.12,5.21,47.02
3/19/2018,97.65,17.98,34.15,32.94,0.18,25.77,18.99,5.29,46.43
3/16/2018,97.96,18.3,34.95,33.16,0.2,26.44,19.29,5.57,46.55
3/15/2018,99.85,18.3,35.3,34.06,0.18,27.03,19.42,5.65,45.92
3/14/2018,98.51,18.38,36.2,33.84,0.18,27.24,19.62,5.63,46.25
3/13/2018,97.77,18.39,35.95,34.06,0.29,27.35,19.66,5.78,45.86
03-12-2018,97.45,18.41,35.75,33.57,0.18,27.18,19.51,5.77,45.79
03-09-2018,96.39,18.16,33.7,33.62,0.22,26.78,19.23,5.46,45.49
03-08-2018,95.57,18.03,34.35,33.55,0.288,26.8,19.04,5.45,45.84
03-07-2018,95.5,17.89,34.05,33.54,0.3,26.89,19.21,5.48,45.69
03-06-2018,97.35,17.99,34.075,33.81,0.22,27.1,19.49,5.49,45.06
03-05-2018,97.18,18,34.1,33.78,0.3,27.28,19.66,5.49,44.84
03-02-2018,98.42,17.75,32.85,34.05,0.2475,27.97,19.68,5.43,44.99
03-01-2018,97.68,17.5,31.4,34,0.2,27.98,19.82,5.41,44.61
2/28/2018,97.18,17.66,31.25,33.93,0.2,28.02,20.18,5.51,45
2/27/2018,98.56,17.52,31.5,34.16,0.17,28.38,20.83,5.45,45.27
2/26/2018,100.08,17.68,29.95,34.07,0.17,28.98,21.26,5.45,45.44
2/23/2018,99.34,17.96,30.05,33.59,0.194,28.03,20.91,5.53,45.86
2/22/2018,97.7,17.8,29.8,33.24,0.194,27.7,20.38,5.46,45.17
2/21/2018,97.57,17.67,29.95,33.56,0.1401,27.97,20.3,5.43,43.55
2/20/2018,99.51,17.64,29.1,34.05,0.1401,28.62,20.42,5.54,43.04
2/16/2018,100.76,17.59,28.3,34.74,0.164,28.81,20.12,5.58,42.79
2/15/2018,101.26,17.61,28.5,34.73,0.16,29.24,20.51,5.55,42.65
2/14/2018,102.22,17.57,28.2,34.59,0.21,29.28,20.16,5.48,42.27
2/13/2018,101.36,17.46,29,34,0.15,28.63,19.62,5.36,41.84
02-12-2018,101.44,17.62,29.9,34.02,0.145,28.67,19.59,5.32,41.82
02-09-2018,99.26,17.36,29.25,34.11,0.21,28.42,19.52,5.22,41.79
02-08-2018,97.53,17.11,32.8,33.04,0.135,28.3,18.76,5.1,41.53
02-07-2018,101,17.48,31.15,33.13,0.16,29.11,19.35,5.21,41.35
02-06-2018,100.75,17.47,30.55,33.06,0.1939,29.26,20.64,5.33,41.88
02-05-2018,100.29,17.37,29.85,32.04,0.1939,28.16,19.98,5.3,42.01
02-02-2018,103.2,17.75,30.65,32.7,0.22,29.75,20.27,5.46,43.28
02-01-2018,110.16,17.93,30.85,33.48,0.17,30.87,21.44,5.51,44.27
1/31/2018,108.59,18.01,30.6,34.46,0.13,30.96,21.42,5.49,44.46
1/30/2018,107.11,18.25,30.9,35.52,0.17,31.06,21.47,5.48,44.53
1/29/2018,108.47,18.55,30.5,36.31,0.17,31.21,21.79,5.56,44.28
1/26/2018,109,18.5,31.25,38.36,0.12,31.37,21.89,5.64,44.51
1/25/2018,106.31,18.45,31.05,37.61,0.1721,31.04,21.73,5.56,44.65
1/24/2018,106.38,18.46,31.1,39.44,0.1,31.56,21.37,5.51,44.56
1/23/2018,107.45,18.45,30.25,39.54,0.1,32.34,21.39,5.42,44.85
1/22/2018,106.04,18.29,30.8,39.14,0.0717,32.88,20.81,5.46,44.62
1/19/2018,107.32,17.99,31.8,38.67,0.09,33.1,20.98,5.61,44.08
1/18/2018,104.91,17.92,31.2,38.28,0.061,32.61,20.56,5.77,45.28
1/17/2018,105.01,18.12,31.45,38.89,0.067,33.06,21.12,5.88,42.97
1/16/2018,103.73,17.78,31.95,38.48,0.0611,33.11,20.8,5.93,41.45
01-12-2018,102.43,16.81,31.85,38.2,0.0611,34.32,21.67,5.68,41.1
01-11-2018,101.35,17.27,31.8,38.07,0.0611,34.29,21.37,5.72,41.13
01-10-2018,101.02,16.99,31.85,37.95,0.0611,33.75,21.19,5.81,40.43
01-09-2018,101.97,16.74,32.2,38.23,0.0611,34.24,21.45,5.7,41.1
01-08-2018,100.47,16.48,31.55,38.48,0.0611,34.05,21.66,5.67,40.69
01-05-2018,100.62,16.35,30.65,38.73,0.0611,33.87,21.58,5.56,39.69
01-04-2018,101.12,16.05,29.35,37.97,0.0611,33.69,21.58,5.65,39.14
01-03-2018,101.34,16.15,30.8,37.4,0.0843,33.93,21.4,5.67,39.4
01-02-2018,102.33,16.29,31.15,38.09,0.0848,34.32,21.09,5.71,39.87
12/29/2017,101.67,16.22,29.85,37.56,0.0501,33.07,20.83,5.47,40.13
12/28/2017,101.03,16.16,30,37.21,0.0428,32.32,21.12,5.41,40.24
12/27/2017,100.28,16.18,29.75,37.09,0.042,32.63,20.47,5.44,40.4
12/26/2017,100.53,16.21,29.8,36.54,0.042,32.98,20.39,5.47,40.47
12/22/2017,100.83,16.1,29.95,36.16,0.0727,32.83,20.02,5.5,40.56
12/21/2017,100.14,16.09,29.95,36.38,0.0504,32.83,20.08,5.52,40.79
12/20/2017,100.11,16,29,36.75,0.0726,32.73,19.85,5.57,40.94
12/19/2017,99.62,15.99,29.55,36.87,0.0503,32.55,19.55,5.59,40.91
12/18/2017,98.52,16.04,29.85,37.41,0.051,31.64,19.32,5.52,40.89
12/15/2017,98.62,16.06,30.35,37.21,0.0521,31.36,18.77,5.33,40.76
12/14/2017,97.51,15.9,30.6,36.55,0.0548,31.37,17.95,5.36,40.16
12/13/2017,96.14,15.89,29.9,36.07,0.06,31.24,17.96,5.34,40.48
12-12-2017,97.41,15.91,29.65,35.3,0.0504,31.51,18.28,5.3,40.87
12-11-2017,96.98,15.86,29.375,34.58,0.0548,31.84,18.26,5.36,40.65
12-08-2017,95.6,15.68,28.85,34.23,0.0502,31.58,18.02,5.24,40.63
12-07-2017,95,15.67,28.85,34.17,0.0591,31.09,17.82,5.17,40.9
12-06-2017,94.59,15.56,28.85,34.15,0.06,30.6,17.58,5.16,40.77
12-05-2017,94.19,15.69,29.05,34.52,0.05,31.11,17.74,5.18,40.7
12-04-2017,94.21,15.46,28.35,34.9,0.05,31.13,17.87,5.12,40.79
12-01-2017,96.01,15.06,28.65,34.77,0.0571,30.77,17.7,5.15,41.15
11/30/2017,97.1,15.56,30.4,35.02,0.07,31.19,18.22,5.39,41.13
11/29/2017,97.85,15.5,29.4,35.7,0.0571,31.56,18.35,5.32,41.42
11/28/2017,98.05,15.56,28.8,35.53,0.062,32.19,18.82,5.31,41.46
11/27/2017,97.78,15.53,28.9,35,0.0571,32.19,18.84,5.3,41.1
11/24/2017,98.43,15.61,28.15,35.46,0.0571,32.74,19.05,5.26,41.56
11/22/2017,97.92,15.2,28.65,35.87,0.0571,32.89,19.16,5.28,41.11
11/21/2017,96.68,15.12,27.75,36.8,0.0571,32.72,19.32,5.34,40.65
11/20/2017,96.52,15.08,27.6,35.28,0.0571,32.36,19.21,5.33,40.43
11/17/2017,97,15.19,27.35,35.91,0.0614,32.48,18.94,5.28,40.39
11/16/2017,94.53,15.27,27.675,35.67,0.0614,31.81,18.51,5.27,40
11/15/2017,93.92,14.84,25.1,35.94,0.057,31.41,18.11,5.12,39.56
11/14/2017,92.96,14.91,25.85,35.48,0.07,31.62,18.77,5.17,40.14
11/13/2017,93.61,14.8,25.9,35.51,0.0611,31.99,19.3,5.09,39.78
11-10-2017,94.02,15.01,26.9,35.61,0.061,32.32,19.86,5.03,39.94
11-09-2017,94.67,14.98,27.1,35.92,0.061,33.06,19.94,5.07,39.76
11-08-2017,95.59,14.92,27.25,36.24,0.061,33.69,20.17,5.09,39.63
11-07-2017,94.63,14.85,27.25,35.91,0.0555,33.42,20.62,5.05,39.09
11-06-2017,95.47,14.82,27.35,36.74,0.1006,35,21.22,5.12,39.73
11-03-2017,94.21,14.63,27.2,36.75,0.0757,33.82,20.92,5.13,39.34
11-02-2017,94.96,14.59,27.325,37.62,0.0994,33.21,21.3,5.18,39.15
11-01-2017,93.3,14.65,24.775,35.67,0.0521,32.99,21.22,5.21,38.6
10/31/2017,92.3,14.85,27.3,36.37,0.07,32.76,20.6,5.36,37.92
10/30/2017,90.68,14.89,25.6,36.15,0.0521,33.33,21,5.24,37.58
10/27/2017,91.93,15,23.45,35.95,0.052,32.76,20.97,5.18,37.99
10/26/2017,90.19,15.01,22.875,35.71,0.052,32.28,20.99,5.17,36.57
10/25/2017,89.43,15.01,23.4,35.74,0.05,32.12,20.6,5.26,36.84
10/24/2017,94.72,14.52,24.8,35.98,0.0722,32.19,20.67,5.31,37.16
10/23/2017,94.66,14.83,25,36.25,0.085,32.16,20.3,5.43,37.48
10/20/2017,96,14.56,24.8,36.68,0.06,32.75,20.21,5.43,37.79
10/19/2017,95.56,14.7,25,36.31,0.07,32.95,20.13,5.34,37.55
10/18/2017,95.27,14.58,25.55,36.44,0.07,32.86,20.36,5.38,37.38
10/17/2017,94.6,14.46,25.85,36.45,0.073,32.82,20.4,5.37,37.45
10/16/2017,96.53,14.62,26.1,36.62,0.07,33.28,20.82,5.46,37.45
10/13/2017,98.66,14.71,25.7,36.04,0.1113,32.79,20.05,5.55,37.59
10-12-2017,94.72,14.61,26.5,35.86,0.09,32.11,19.69,5.52,37.39
10-11-2017,93.4,14.58,26.9,36.13,0.09,31.78,19.44,5.5,37.52
10-10-2017,93.6,14.76,26.8,36.52,0.09,32.27,19.89,5.5,37.19
10-09-2017,93,14.69,27.75,36.61,0.1051,32.27,19.88,5.5,37.43
10-06-2017,93.4,14.63,28.85,36.31,0.0901,32.24,20.05,5.49,37.05
10-05-2017,93.44,14.52,28.85,36.29,0.0901,32.27,19.69,5.5,36.83
10-04-2017,93.82,14.51,27.95,36.3,0.1028,32.21,19.6,5.53,36.66
10-03-2017,94.43,14.55,28.15,35.57,0.0908,31.98,19.49,5.62,36.79
10-02-2017,94.61,14.68,28.35,36.57,0.0835,31.72,19.34,5.66,36.75
9/29/2017,96.37,14.59,28.75,35.68,0.0801,31.27,19.36,5.68,36.5
9/28/2017,95.33,14.27,28.95,35.92,0.09,30.53,19.16,5.64,36.3
9/27/2017,93.5,14.3,29.5,34.51,0.09,30.68,19.06,5.61,36.19
9/26/2017,94.57,14.34,28.7,35.69,0.0814,31.32,19.34,5.6,36.36
9/25/2017,94.09,14.31,28.8,36.6,0.0814,31.09,18.79,5.62,36.49
9/22/2017,97.23,14.59,28.45,37.66,0.0814,31.75,19.24,5.68,37.27
9/21/2017,97.84,14.64,29.6,37.72,0.0728,31.78,20.04,5.62,36.6
9/20/2017,98.21,14.84,30,35.68,0.08,31.84,20.11,5.63,36.34
9/19/2017,99.96,14.8,33.35,34.56,0.1058,32.22,20.34,5.65,35.99
9/18/2017,99.9,14.8,33.75,34.52,0.087,31.82,20.48,5.76,35.85
9/15/2017,99.31,14.65,33.95,33.78,0.075,31.28,20,5.8,35.91
9/14/2017,98.66,14.55,34,35.02,0.053,31.14,20.1,5.7,36.03
9/13/2017,99.41,14.53,34.3,34.91,0.052,30.48,20.38,6,36.4
09-12-2017,99.29,14.54,33.75,34.2,0.0694,30.59,20.85,5.97,36.41
09-11-2017,98.95,14.57,33.35,33.91,0.051,29.74,20.8,5.98,35.59
09-08-2017,97.43,14.53,32.75,33.36,0.06,29.64,20.33,5.98,35.13
09-07-2017,96.79,14.58,32.9,34.46,0.0549,29.79,20.64,5.99,35.62
09-06-2017,95.72,14.62,33.55,34.12,0.0549,30.21,20.08,5.98,35.51
09-05-2017,94.1,14.65,35.05,33.85,0.0549,30.15,19.84,5.92,35.52
09-01-2017,97.42,14.84,35.25,34.67,0.0549,30.54,20.07,5.92,35.48
8/31/2017,97.43,15,34.1,32.19,0.051,29.86,19.6,5.94,35
8/30/2017,96.16,15.05,33,31.54,0.0899,29.84,19.17,5.94,35
8/29/2017,95.57,15.27,32.55,31.73,0.051,29.68,18.93,5.92,34.98
8/28/2017,95.91,15.31,31.65,31.76,0.051,29.82,19.16,5.94,35.01
8/25/2017,95.9,15.15,30.4,31.71,0.051,29.99,19.05,5.96,34.99
8/24/2017,96.07,14.99,30.8,31.39,0.051,29.93,19,5.99,35.01
8/23/2017,95.71,14.82,29.875,31.24,0.05,29.85,19.15,6,35.03
8/22/2017,95.92,14.26,30.15,31.11,0.05,29.28,18.74,6,35.22
8/21/2017,95.4,14.56,30.35,30.11,0.05,29.03,18.58,5.96,35.13
8/18/2017,94.33,14.79,30.15,30.75,0.05,29.32,18.76,5.96,35.22
8/17/2017,94.24,15.93,30.3,30.82,0.05,29.44,18.76,5.96,35.25
