Date,HDB,INFY,MMYT,RDY,REDFY,TTM,VEDL,WIT,WNS,V1,V2,V3,V4,V5,V6,V7,V8,V9
3/23/2018,97.98,18.05,33.95,32.49,0.18,25.56,17.32,5.26,48.26,"5,78,053","62,11,111","2,91,898","1,83,964",0,"19,83,247","6,64,452","18,64,337","3,49,167"
3/22/2018,99.26,17.96,35.55,32.79,0.18,25.8501,18.19,5.19,48,"9,20,410","63,94,041","3,20,316","1,93,505","8,300","13,27,976","7,73,723","36,79,212","2,14,903"
3/21/2018,98.36,18.245,35.4,33.37,0.2,25.9,19.39,5.305,48.25,"4,53,393","58,60,128","2,71,930","2,07,680","3,721","17,29,745","6,58,983","18,80,412","3,28,139"
3/20/2018,97.55,18.25,35.45,33.51,0.18,26.06,19.3,5.37,47.35,"4,86,032","58,57,033","1,27,882","2,56,379",100,"18,60,600","3,18,369","54,03,225","1,86,213"
3/19/2018,97.84,18.04,35.15,33.17,0.18,26.15,19.19,5.53,46.73,"5,72,692","57,86,147","1,58,417","2,61,251",274,"18,98,359","3,68,529","30,03,036","1,24,500"
3/16/2018,99.39,18.41,36.15,33.7,0.2,26.51,19.44,5.725,46.56,"8,29,921","49,09,019","2,51,956","3,76,483","1,253","24,89,354","7,58,727","17,70,298","1,98,815"
3/15/2018,100.11,18.48,36.45,34.27,0.2,27.43,19.55,5.72,46.69,"5,87,845","31,84,790","3,64,394","2,46,444","4,610","10,63,648","3,12,013","17,75,871","1,14,982"
3/14/2018,98.88,18.49,36.8,34.2,0.28,27.59,19.86,5.8,46.53,"6,37,953","25,60,145","4,60,440","2,62,741","2,360","12,04,277","2,93,113","18,77,625","2,12,607"
3/13/2018,98.87,18.54,36.75,34.18,0.3,27.43,20.29,5.9,46.13,"7,22,321","28,19,320","8,88,285","2,93,384","2,700","14,61,699","5,15,784","17,04,474","1,73,975"
03-12-2018,97.98,18.49,36,33.72,0.18,27.4,19.66,5.79,46.12,"3,94,303","58,23,294","5,22,050","1,87,169","16,147","17,35,673","4,34,436","18,10,554","1,32,711"
03-09-2018,96.56,18.25,34.65,33.64,0.292,26.895,19.27,5.48,46.11,"8,08,973","49,36,984","4,46,433","2,64,185","1,200","14,42,680","5,14,556","5,27,033","1,76,248"
03-08-2018,96.14,18.05,34.65,33.55,0.3,26.8,19.1,5.5,45.99,"9,58,626","39,16,414","2,12,869","2,95,374","10,740","12,59,107","7,41,141","6,07,914","1,45,892"
03-07-2018,96.9,17.95,34.35,33.705,0.3,27.06,19.295,5.52,46.21,"9,78,528","28,87,499","3,41,886","2,54,498","1,426","10,83,578","6,48,639","6,41,007","2,34,100"
03-06-2018,97.65,18.105,35.35,33.96,0.3,27.24,19.67,5.54,45.16,"5,30,691","62,34,611","5,36,188","3,58,339","17,069","15,51,091","8,59,889","8,21,947","1,14,478"
03-05-2018,97.93,18.03,34.45,33.99,0.309,27.33,19.7,5.51,45.1,"7,21,761","42,80,298","5,22,872","1,96,529","24,800","19,09,507","1,67,395","4,84,751","1,65,095"
03-02-2018,98.63,17.79,32.975,34.2,0.249,28,19.78,5.44,45.165,"4,65,108","33,10,427","4,15,042","1,21,711","8,031","12,44,269","4,37,108","5,23,576","1,16,414"
03-01-2018,98.09,17.79,31.5,34.42,0.293,28.53,20.12,5.53,45.548,"6,02,845","52,27,418","3,21,146","1,71,071","36,632","12,11,274","3,74,171","12,25,259","1,18,979"
2/28/2018,98.93,17.97,31.725,34.42,0.2,28.36,20.59,5.55,45.74,"4,26,033","85,36,881","3,41,361","2,34,245","18,051","6,79,719","4,61,081","12,65,427","1,75,053"
2/27/2018,99.8,17.77,31.65,34.84,0.17,28.9,21.11,5.52,45.72,"4,01,545","47,21,161","4,91,934","3,18,075","5,410","11,02,897","3,71,893","10,04,488","1,37,240"
2/26/2018,101.15,17.87,30.325,34.15,0.17,29.11,21.26,5.54,46,"6,51,403","35,66,204","3,15,437","2,88,821","5,957","20,02,668","3,07,660","7,15,928","2,04,464"
2/23/2018,99.49,17.96,30.25,33.85,0.194,28.17,20.96,5.535,46.07,"6,01,456","37,03,350","2,04,338","3,04,256",0,"12,05,127","2,86,202","5,73,824","3,29,408"
2/22/2018,98.13,17.91,30.1,33.3,0.194,27.79,20.5,5.51,45.37,"6,06,828","41,67,262","3,26,140","4,37,127","2,000","17,97,478","4,94,410","11,38,637","5,43,865"
2/21/2018,99.35,18,30.15,34.02,0.155,28.32,20.63,5.57,43.87,"6,53,136","40,71,928","3,84,849","2,34,153",500,"15,32,907","7,65,509","9,45,577","2,55,481"
2/20/2018,100.12,17.72,29.4,34.31,0.15,28.76,20.58,5.6,43.565,"4,89,014","33,77,097","2,46,395","4,41,539","2,825","11,21,394","5,10,699","7,69,057","1,45,714"
2/16/2018,101.23,17.7,28.95,34.9611,0.164,29.07,20.27,5.58,43.1,"4,36,637","28,88,880","4,84,115","1,48,748","2,008","7,82,552","5,92,451","12,72,667","74,834"
2/15/2018,102.44,17.695,28.825,34.85,0.2,29.39,20.55,5.55,43.2945,"5,67,927","50,74,104","5,11,497","1,98,473","11,000","7,09,394","3,24,496","6,83,714","81,964"
2/14/2018,102.555,17.57,29,34.75,0.21,29.38,20.21,5.49,42.45,"5,43,452","65,43,447","4,02,843","1,55,323",500,"10,33,174","6,07,393","14,15,682","1,14,736"
2/13/2018,101.81,17.59,29.9,34.2,0.154,28.7898,19.77,5.38,42.4,"3,69,775","46,66,717","2,61,059","2,27,608","6,900","6,01,509","5,09,289","19,82,199","82,220"
02-12-2018,102.24,17.72,30.5,34.43,0.145,28.88,19.73,5.4,42.42,"5,47,585","90,96,883","4,76,586","2,24,004",250,"11,87,914","7,23,465","36,17,637","1,53,977"
02-09-2018,99.66,17.545,33.55,34.35,0.21,28.5862,19.65,5.25,42.112,"6,90,765","1,24,26,780","5,62,193","3,74,070",100,"18,92,845","13,77,720","26,30,387","1,87,556"
02-08-2018,101.7,17.73,34.45,34.2,0.135,29.12,19.67,5.25,41.99,"7,86,961","51,39,412","9,90,654","4,55,166",300,"18,79,226","5,55,288","16,40,919","3,08,695"
02-07-2018,101.71,17.75,31.2,33.52,0.185,29.67,19.93,5.31,42.2,"7,83,246","47,47,025","4,75,663","4,37,570","15,525","15,14,593","8,96,034","21,33,115","1,97,465"
02-06-2018,101.23,17.54,30.75,33.27,0.21,29.39,20.77,5.38,43.045,"16,04,378","65,51,115","4,76,971","4,52,008","1,460","22,80,296","8,49,729","15,22,897","2,61,818"
02-05-2018,103,17.88,31.05,33.17,0.1939,30.48,20.94,5.48,43.66,"11,26,944","67,41,236","4,79,626","2,99,313","5,800","21,40,879","10,38,916","21,58,288","1,85,936"
02-02-2018,106.4,17.955,31.319,33.16,0.22,30.13,21,5.5,44.3,"10,87,150","76,40,060","6,37,259","3,01,797","12,163","18,71,337","4,93,917","16,54,006","1,86,768"
02-01-2018,110.16,18.09,31.65,34.15,0.17,30.89,21.67,5.51,44.48,"6,93,028","54,39,319","4,18,850","4,85,503","42,800","11,05,529","3,63,497","17,10,280","2,06,623"
1/31/2018,110.77,18.26,31.2,35.23,0.165,31.36,21.87,5.54,45.17,"9,84,632","95,69,276","2,28,046","4,44,264","36,950","14,81,423","2,92,867","15,87,370","1,33,744"
1/30/2018,108.85,18.37,31.4,35.99,0.17,31.13,21.535,5.51,44.82,"4,22,453","62,94,747","2,87,060","4,17,424","24,848","12,65,468","5,05,148","26,09,193","1,92,647"
1/29/2018,109.68,18.67,31.45,37.09,0.17,31.46,21.89,5.59,44.575,"7,05,328","62,70,374","2,61,109","5,96,510","36,450","10,73,636","5,53,215","17,49,893","1,16,697"
1/26/2018,109.24,18.55,31.7,39.125,0.17,31.37,21.93,5.645,44.78,"5,55,867","37,71,393","1,90,196","6,04,660","11,424","11,78,713","5,71,075","16,02,375","1,09,363"
1/25/2018,107.24,18.54,31.35,39,0.25,31.78,21.99,5.58,44.87,"8,26,957","48,99,074","2,95,784","14,08,409","7,275","26,78,851","7,10,681","12,70,751","1,99,733"
1/24/2018,108.47,18.71,31.8,39.96,0.125,31.88,21.71,5.51,44.905,"5,52,431","79,16,739","2,23,991","5,51,716","37,260","22,39,017","7,17,725","19,42,614","2,59,370"
1/23/2018,107.46,18.58,31.25,39.59,0.1,32.89,21.71,5.44,45.41,"6,16,535","60,04,466","2,78,551","1,88,801","94,408","20,51,942","9,33,242","9,20,103","2,66,694"
1/22/2018,108.41,18.31,32.3,39.14,0.081,33.24,20.81,5.54,44.82,"12,95,864","96,41,401","2,65,282","1,64,267","1,427","15,05,179","5,56,761","45,87,698","4,64,923"
1/19/2018,107.48,18.01,32,38.95,0.1,33.21,21.02,5.88,45.125,"5,90,716","38,08,242","2,43,257","2,30,858","84,146","11,58,274","3,51,549","12,31,126","3,13,415"
1/18/2018,106.58,18.19,31.45,38.61,0.085,32.815,20.68,5.88,46,"6,79,712","87,16,582","90,504","2,89,686","46,655","21,82,126","6,39,006","7,81,303","6,47,970"
1/17/2018,105.14,18.25,32.4,39.06,0.067,33.24,21.2,5.94,43.18,"9,55,796","1,27,93,010","1,25,617","1,89,032","8,605","9,57,006","4,38,095","14,17,436","3,87,597"
1/16/2018,104.59,18.24,32.9,38.61,0.0611,33.285,20.99,5.99,41.93,"8,71,426","1,71,37,270","2,55,907","1,99,679","1,450","22,11,596","6,28,388","18,68,035","1,91,875"
01-12-2018,102.59,17.0999,32.35,38.47,0.0611,34.35,21.685,5.74,41.58,"4,34,389","88,07,002","1,53,559","1,74,182",0,"9,20,403","4,28,162","6,54,652","1,53,802"
01-11-2018,101.53,17.37,32.3,38.15,0.0666,34.34,21.42,5.76,41.62,"4,30,027","1,75,86,280","1,64,169","1,37,283",450,"11,75,551","5,33,047","7,13,343","1,18,259"
01-10-2018,102.39,17.15,32.2,37.99,0.0611,33.91,21.24,5.81,41.0425,"4,16,474","82,26,205","1,91,552","2,54,106",0,"8,62,855","3,83,142","8,06,878","1,42,807"
01-09-2018,102.11,16.76,32.65,38.37,0.0611,34.35,21.53,5.7,41.7,"8,19,604","64,62,247","2,89,510","2,78,020","1,083","13,25,067","5,20,790","6,75,125","3,74,348"
01-08-2018,101.28,16.52,31.6,38.95,0.0611,34.09,21.69,5.69,40.945,"4,35,739","55,99,147","2,25,577","3,00,752",0,"19,85,433","6,15,633","9,70,308","1,95,403"
01-05-2018,101.82,16.38,30.75,38.91,0.0611,33.97,21.67,5.68,40.29,"9,48,918","49,05,733","2,16,869","2,83,631",0,"13,80,342","5,51,377","12,10,067","6,56,955"
01-04-2018,102.3,16.2,30.8,38.08,0.07,33.81,21.88,5.73,39.58,"4,11,097","81,36,004","4,25,812","1,98,614","4,479","11,54,555","6,59,288","16,10,444","6,40,553"
01-03-2018,101.99,16.27,31.445,37.44,0.0848,33.965,21.45,5.705,40.0674,"5,13,162","51,25,449","2,98,229","3,61,780","8,950","22,36,922","4,40,776","15,08,021","3,13,987"
01-02-2018,102.77,16.39,31.3,38.22,0.0848,34.4,21.14,5.71,40.47,"4,03,524","61,49,106","3,38,831","2,29,347","8,150","15,03,414","6,58,415","16,76,436","1,29,259"
12/29/2017,101.98,16.37,30,37.79,0.0616,33.57,20.97,5.5,40.96,"3,96,941","35,51,855","2,06,952","3,54,413","55,700","15,36,786","3,14,452","5,12,499","52,748"
12/28/2017,101.08,16.3,30.1,37.55,0.0713,32.53,21.16,5.483,40.46,"2,84,858","26,58,085","1,29,734","3,77,082","15,545","6,73,098","4,89,313","11,10,932","1,39,415"
12/27/2017,100.29,16.23,30.3,37.25,0.0709,32.79,20.54,5.5,40.9,"6,01,848","46,61,298","2,15,303","1,86,603","8,520","4,88,390","3,65,157","4,20,564","75,800"
12/26/2017,100.75,16.27,30.05,36.85,0.0727,33.03,20.42,5.519,40.65,"2,38,110","20,49,831","1,35,622","85,472","2,15,468","5,56,017","2,45,271","2,45,866","50,533"
12/22/2017,101.26,16.37,30.05,36.35,0.0945,32.88,20.05,5.59,41.145,"3,33,662","38,26,714","91,377","92,321","20,900","5,70,712","3,02,182","9,85,443","1,36,288"
12/21/2017,100.34,16.225,30.05,37.21,0.0504,32.89,20.09,5.62,41.08,"6,08,439","43,64,103","2,71,193","1,08,603","3,785","6,31,221","4,98,002","7,82,855","91,549"
12/20/2017,100.49,16.08,29.85,36.99,0.0726,32.74,19.99,5.61,41.33,"5,24,628","33,46,446","2,58,930","1,69,958","10,002","7,78,916","3,59,789","7,69,678","2,42,642"
12/19/2017,100.48,16.05,30.05,37.51,0.0503,32.82,19.89,5.62,41.07,"5,45,499","25,54,590","1,22,756","2,95,598","20,675","13,45,145","4,55,871","24,17,589","2,03,670"
12/18/2017,99.46,16.08,30.3,37.71,0.0735,31.705,19.46,5.55,41.13,"3,47,073","37,54,121","3,75,988","1,99,036","11,560","7,86,679","4,75,793","21,11,532","1,58,974"
12/15/2017,98.6958,16.13,30.65,37.56,0.0735,31.6,18.89,5.39,40.95,"5,86,304","47,98,503","3,62,448","5,92,398","33,079","9,24,502","11,13,383","34,32,044","4,69,195"
12/14/2017,98.385,16,30.75,37.06,0.0606,31.65,18.15,5.4,40.77,"6,13,778","46,35,798","2,45,149","6,32,489","8,421","7,52,202","4,56,207","11,84,497","1,29,427"
12/13/2017,97.27,16.07,30.138,36.35,0.06,31.35,17.96,5.37,41.245,"5,95,196","58,06,769","3,50,313","6,68,804","10,940","8,14,087","6,38,154","12,66,824","1,16,060"
12-12-2017,97.44,15.955,30,35.52,0.0504,31.55,18.29,5.32,40.9,"14,47,815","50,89,141","1,84,859","4,35,307","1,170","7,74,334","3,43,051","8,45,681","2,22,598"
12-11-2017,97.08,15.87,29.5,34.68,0.0548,31.89,18.26,5.38,40.86,"7,08,896","31,78,236","2,07,770","4,53,904","2,628","11,31,995","3,76,473","9,37,073","1,46,495"
12-08-2017,96.48,15.7201,29.7,34.27,0.0502,31.73,18.21,5.24,41.35,"2,65,592","30,51,929","2,88,680","2,47,100","3,622","9,48,237","2,87,076","6,10,269","1,95,247"
12-07-2017,95.435,15.725,29.05,34.32,0.0726,31.2,17.84,5.18,41.1,"3,96,349","29,80,368","1,32,644","1,93,240","10,637","9,14,626","5,14,938","4,36,434","4,01,795"
12-06-2017,94.78,15.69,29.2,34.38,0.095,30.74,17.6,5.17,41.46,"4,95,888","41,61,775","1,72,231","2,03,064","23,400","9,26,214","4,40,387","7,06,939","1,60,203"
12-05-2017,94.98,15.75,30,34.61,0.05,31.23,17.86,5.2,41.17,"3,47,135","56,26,636","3,55,593","95,287","1,338","5,40,347","4,64,228","18,94,061","58,779"
12-04-2017,96.4,15.76,29,35.09,0.0668,31.42,18.02,5.2,41.475,"8,35,416","70,42,971","5,08,811","2,15,709","15,350","9,59,493","6,00,956","10,10,878","1,93,286"
12-01-2017,96.91,15.4,30.2,34.88,0.09,31,17.79,5.34,41.41,"6,37,839","55,31,518","2,91,924","2,25,320","7,323","9,63,432","7,64,425","23,64,049","1,30,741"
11/30/2017,98,15.62,30.9,35.9,0.07,31.39,18.37,5.4,41.88,"4,72,538","50,45,113","6,91,918","4,78,255","11,415","12,70,386","5,21,223","36,12,590","1,10,808"
11/29/2017,98.81,15.57,29.8,35.78,0.0571,31.92,18.5439,5.47,42.36,"3,11,403","26,36,997","3,45,928","3,06,371","16,396","13,17,438","3,64,498","17,41,969","2,15,995"
11/28/2017,98.38,15.705,29.1,35.66,0.062,32.29,18.88,5.35,41.51,"4,08,725","38,38,481","2,42,765","1,65,965","2,600","6,92,794","1,98,540","10,62,729","89,705"
11/27/2017,98.35,15.61,29.05,35.67,0.0571,32.5,19.07,5.32,41.73,"3,85,515","50,65,038","3,31,294","2,64,378","7,150","9,72,508","2,63,054","10,80,110","1,07,469"
11/24/2017,98.58,15.715,28.9,35.76,0.0571,32.92,19.14,5.31,41.66,"1,85,785","67,27,760","2,13,570","1,13,502",950,"5,04,454","1,61,232","3,65,761","73,022"
11/22/2017,98.19,15.22,29.1,36.43,0.0571,32.99,19.18,5.3,41.48,"4,50,890","17,42,509","3,54,446","3,46,639",638,"6,17,698","2,38,708","8,69,953","1,77,846"
11/21/2017,97.69,15.225,28,37.2,0.0571,32.81,19.48,5.34,40.71,"3,28,980","30,95,969","2,10,473","2,18,936","3,050","6,01,697","3,37,186","13,64,502","1,75,492"
11/20/2017,96.62,15.15,27.8333,35.35,0.0571,32.5,19.3,5.35,41.01,"5,52,616","20,87,293","3,51,412","3,47,233",600,"6,70,426","4,87,869","18,08,881","1,57,276"
11/17/2017,97.33,15.22,28.3,36.12,0.0614,32.65,19.01,5.3,40.89,"4,44,033","32,14,438","3,25,479","1,62,634",0,"12,05,655","3,44,368","11,51,934","1,72,849"
11/16/2017,94.95,15.39,27.725,35.98,0.0617,31.98,18.58,5.3,40.5,"3,82,847","59,50,153","8,65,547","3,12,571","34,108","9,89,183","4,14,501","20,33,884","1,61,647"
11/15/2017,94.2,14.96,25.65,36.13,0.057,31.48,18.165,5.135,40.12,"4,88,917","20,88,980","2,58,185","3,21,883","6,100","14,13,768","8,06,379","11,18,108","1,06,752"
11/14/2017,93.38,14.96,26.2,35.5,0.07,31.65,18.93,5.18,40.38,"4,22,130","46,52,058","3,36,181","1,64,560",225,"15,00,820","5,45,871","18,71,768","1,25,490"
11/13/2017,93.74,14.9,26.9,35.63,0.0611,31.99,19.37,5.1,39.97,"3,46,357","29,19,428","3,45,845","3,09,523","3,233","10,96,373","4,04,350","20,84,305","1,15,004"
11-10-2017,95.295,15.03,27.25,35.75,0.061,32.44,20.01,5.0858,40.27,"3,93,231","38,42,967","2,29,272","2,75,993",0,"23,91,320","2,59,543","8,60,464","1,23,483"
11-09-2017,95.98,14.99,27.3,36.27,0.061,33.56,20.04,5.13,40.01,"3,69,017","46,05,656","2,93,182","3,51,823",0,"30,31,178","4,17,660","14,81,764","1,70,485"
11-08-2017,96.12,14.97,27.3,36.335,0.0668,33.78,20.18,5.11,39.755,"5,46,814","29,99,752","3,65,816","3,83,239","4,910","29,54,447","4,52,336","20,41,924","1,30,406"
11-07-2017,94.98,15.09,27.65,36.395,0.0707,34.37,20.86,5.26,39.74,"5,37,592","46,77,605","4,40,765","3,07,332","17,300","46,23,432","2,60,413","30,92,579","1,18,091"
11-06-2017,95.89,14.88,27.8457,36.86,0.1006,35.47,21.27,5.23,41.82,"3,74,155","26,28,031","4,62,711","1,76,759","7,000","35,04,694","2,78,351","13,86,049","6,77,804"
11-03-2017,95.12,14.72,27.7,37.23,0.0995,33.96,21.15,5.205,39.74,"2,83,154","23,47,300","8,43,448","4,25,297","30,300","27,31,165","2,14,608","17,32,254","3,15,168"
11-02-2017,95.18,14.73,27.45,37.65,0.0994,33.3,21.48,5.25,39.21,"6,20,316","31,64,925","6,83,397","7,84,816","5,710","16,16,820","2,41,599","12,19,202","1,49,548"
11-01-2017,94.44,14.94,27.25,35.87,0.0521,33.66,21.63,5.37,38.73,"6,33,539","48,56,597","21,01,251","4,09,087","1,300","21,26,029","3,45,977","14,50,224","2,25,610"
10/31/2017,92.99,14.95,27.55,37.4,0.07,32.95,20.75,5.38,38.59,"7,86,944","70,04,924","13,48,798","7,82,068","26,050","11,56,256","9,43,345","10,92,210","1,61,064"
10/30/2017,92.83,15.01,26.2,37.22,0.0758,33.45,21.16,5.27,38.3,"9,23,138","60,66,893","20,59,219","6,74,038","19,221","17,08,158","3,74,763","16,88,775","2,63,684"
10/27/2017,92,15.08,23.9,36.3,0.0575,32.8241,21.02,5.21,38.05,"14,33,590","74,65,044","8,06,870","4,37,248","2,800","8,60,394","3,54,341","36,29,914","2,61,053"
10/26/2017,92.86,15.09,23.75,36.09,0.0545,32.41,21.38,5.3,36.965,"11,02,297","66,69,095","5,29,211","2,07,547","6,000","6,69,582","4,14,161","19,84,837","2,13,004"
10/25/2017,93.48,15.04,25.095,36.34,0.0699,32.4,20.7,5.379,37.145,"18,55,910","82,82,590","3,43,745","1,65,224","50,451","7,32,503","3,44,210","22,86,175","92,216"
