Date,HDB,INFY,MMYT,RDY,REDFY,TTM,VEDL,WIT,WNS
3/23/2018,96,17.73,32.9,31.92,0.18,24.85,17.03,5.08,45.78
3/22/2018,96.83,17.69,33.45,32.36,0.18,25.455,17.75,5.07,47.025
3/21/2018,97.43,18.03,34.35,32.84,0.2,25.61,18.9,5.17,47.11
3/20/2018,96.56,18.02,33.85,33.11,0.18,25.67,19.03,5.06,46.45
3/19/2018,96.841,17.855,33.8,32.81,0.18,25.58,18.82,5.23,45.57
3/16/2018,97.61,18.23,34.65,33.02,0.2,26.21,19.21,5.56,45.815
3/15/2018,98.735,18.285,34.75,33.84,0.18,26.9,19.28,5.62,45.85
3/14/2018,97.34,18.34,35.25,33.69,0.14,27.13,19.5454,5.55,45.6
3/13/2018,97.59,18.295,34.85,33.79,0.29,27.21,19.61,5.76,45.63
03-12-2018,96.46,18.25,33.4,33.39,0.18,27.13,19.48,5.49,45.17
03-09-2018,95.69,18.04,33.075,33,0.19,26.55,18.86,5.42,45.08
03-08-2018,95.05,17.8,33.55,33.09,0.22,26.5,18.885,5.42,45.245
03-07-2018,95.34,17.8,33.0001,33.33,0.18,26.77,19.12,5.45,44.98
03-06-2018,96.55,17.88,33.4,33.43,0.18,26.78,19.43,5.46,44.22
03-05-2018,96.44,17.6,31.95,33.56,0.21,26.8457,19.37,5.4,44.41
03-02-2018,96.66,17.45,30.95,33.75,0.1401,27.59,19.38,5.35,44.31
03-01-2018,96.44,17.37,30.4,33.8,0.15,27.9199,19.71,5.32,44.35
2/28/2018,97.17,17.66,30,33.93,0.17,27.99,20.17,5.44,44.52
2/27/2018,98.55,17.52,30.2,34.15,0.1402,28.37,20.7878,5.445,44.95
2/26/2018,99.91,17.62,29.65,33.68,0.155,28.36,20.965,5.44,45.15
2/23/2018,97.93,17.73,28.75,33.4,0.194,27.685,20.62,5.46,45.37
2/22/2018,96.83,17.7,29.35,32.89,0.194,27.46,20.2801,5.445,43.75
2/21/2018,97.5,17.66,29.2,33.56,0.1401,27.96,20.3,5.43,43.03
2/20/2018,98.74,17.5,28.05,33.54,0.1401,28.31,20.22,5.51,42.65
2/16/2018,100,17.56,28.2,34.45,0.16,28.5,19.97,5.47,41.99
2/15/2018,100.64,17.425,27.6,34.39,0.16,28.96,20.19,5.475,42.08
2/14/2018,100.25,17.19,27.6,33.78,0.21,28.62,19.42,5.32,41.455
2/13/2018,100.45,17.35,28.8,33.6835,0.14,28.51,19.55,5.32,41.5
02-12-2018,99.52,17.225,29.45,33.73,0.145,28.2,19.44,5.25,41.215
02-09-2018,96.27,16.88,29.225,33.08,0.21,27.58,18.85,5.12,40.94
02-08-2018,97.5,17.1,30.65,33.04,0.135,28.28,18.75,5.09,41.01
02-07-2018,99.05,17.3,30.25,32.465,0.14,29.07,19.35,5.17,41.32
02-06-2018,99.1,17.03,28.4687,32.05,0.15,28.19,19.68,5.18,40.81
02-05-2018,100.13,17.32,29.65,32.04,0.1751,28.12,19.92,5.28,41.83
02-02-2018,103.06,17.73,29.7,32.5447,0.134,29.7,20.26,5.39,43.28
02-01-2018,107.87,17.85,30.35,32.9,0.12,30.46,21.305,5.41,43.651
1/31/2018,108.19,17.95,30.5,34.33,0.1202,30.8,21.32,5.42,44.28
1/30/2018,107.07,18.18,30.2,35.45,0.08,30.75,21.26,5.43,44.02
1/29/2018,107.77,18.5,30.45,36.14,0.11,31.12,21.7128,5.51,44.12
1/26/2018,106.4,18.33,31.15,37.395,0.0801,31.18,21.701,5.55,44.38
1/25/2018,106.03,18.36,30.6,34.13,0.083,30.92,21.695,5.49,44.12
1/24/2018,106.15,18.44,30.25,39.33,0.0932,31.435,21.33,5.35,44.33
1/23/2018,105.16,18.36,29.85,39.08,0.0656,32.29,21.32,5.37,44.61
1/22/2018,105.8,17.99,30.55,38.7,0.0626,32.73,20.6,5.33,43.95
1/19/2018,105,17.9,31.4,38.45,0.061,32.85,20.9,5.56,43.86
1/18/2018,104.8,17.825,31.05,38.03,0.061,32.47,20.45,5.76,43.255
1/17/2018,103.42,18.05,31.35,38.6,0.06,33.03,21.07,5.77,41.44
1/16/2018,103.01,17.69,31.85,38.23,0.0611,32.9,20.71,5.81,41.11
01-12-2018,100.95,16.72,31.55,38.1,0.0611,34.08,21.44,5.68,40.59
01-11-2018,100.84,17.09,30.7,37.77,0.061,33.88,21.2,5.66,40.49
01-10-2018,100.8,16.7,31.15,37.66,0.0611,33.74,21.09,5.72,39.8
01-09-2018,100.73,16.55,31.55,37.93,0.0611,34,21.3599,5.63,40.64
01-08-2018,100.28,16.34,30.45,38.295,0.0611,33.79,21.42,5.55,39.56
01-05-2018,100.31,16.15,29.15,38.58,0.0611,33.69,21.38,5.52,39.14
01-04-2018,101.05,16.02,28.6,37.5,0.061,33.57,21.57,5.63,38.68
01-03-2018,100.72,16.1,30.5,36.61,0.0843,33.81,21.11,5.57,39.05
01-02-2018,101.52,16.23,29.95,37.36,0.0502,34.06,20.93,5.49,39.84
12/29/2017,101.11,16.21,29.45,37.26,0.03,33.06,20.77,5.46,40.01
12/28/2017,100.17,16.15,29.55,37.03,0.042,32.18,20.85,5.35,39.81
12/27/2017,99.36,16.15,29.35,36.93,0.042,32.55,20.44,5.42,40.21
12/26/2017,99.8,16.11,29.45,36.265,0.041,32.71,20.09,5.46,40.15
