Date,HDB,INFY,MMYT,RDY,REDFY,TTM,VEDL,WIT,WNS
3/23/2018,97.35,17.98,33.55,32.38,0.18,25.48,17.3,5.08,47.19
3/22/2018,97.53,17.92,35.05,32.6,0.18,25.75,17.93,5.19,47.65
3/21/2018,97.43,18.2,34.4,33.22,0.2,25.68,18.97,5.22,47.23
3/20/2018,97.55,18.05,34.2,33.16,0.18,25.88,19.03,5.33,46.45
3/19/2018,97.5,17.92,35,33.02,0.18,26.08,19.19,5.53,46.53
3/16/2018,99.39,18.25,35.25,33.65,0.2,26.46,19.33,5.63,46.01
3/15/2018,98.98,18.44,36.35,33.84,0.2,27.39,19.52,5.65,46.24
3/14/2018,98.13,18.46,35.75,34.1,0.14,27.48,19.85,5.78,45.82
3/13/2018,97.59,18.45,35.75,33.86,0.3,27.38,20.05,5.83,45.81
03-12-2018,96.79,18.25,34,33.67,0.18,27.13,19.56,5.49,45.61
03-09-2018,96.31,18.05,34.5,33.41,0.19,26.55,18.98,5.46,46.11
03-08-2018,95.79,17.9,33.95,33.52,0.22,26.8,19.1,5.48,45.39
03-07-2018,96.9,17.93,33.75,33.48,0.18,26.91,19.24,5.51,44.98
03-06-2018,97.11,17.93,34,33.84,0.3,26.78,19.59,5.5,45.03
03-05-2018,97.93,17.64,32.6,33.78,0.21,26.99,19.5,5.41,44.95
03-02-2018,96.71,17.48,31.3,33.81,0.1401,27.75,19.67,5.36,44.44
03-01-2018,97.23,17.71,31.1,33.97,0.185,28.23,20.12,5.51,44.92
2/28/2018,98.63,17.88,31.65,34.16,0.17,28.35,20.51,5.49,45.49
2/27/2018,99.77,17.72,30.45,34.27,0.1402,28.9,21.11,5.45,45.5
2/26/2018,100.26,17.83,29.85,33.79,0.155,28.47,21.05,5.52,46
2/23/2018,98.74,17.84,30,33.7,0.194,27.84,20.96,5.53,45.37
2/22/2018,97.84,17.88,29.95,33.03,0.194,27.68,20.3,5.48,44.03
2/21/2018,99.32,17.78,29.2,33.95,0.155,28.2,20.33,5.57,43.05
2/20/2018,99.92,17.5,28.05,33.85,0.15,28.51,20.26,5.53,42.65
2/16/2018,100.63,17.62,28.65,34.51,0.16,28.73,20,5.55,42.54
2/15/2018,102.44,17.64,28.3,34.72,0.2,29.39,20.52,5.48,42.64
2/14/2018,101.2,17.25,28.75,33.78,0.21,28.62,19.52,5.35,41.64
2/13/2018,101.17,17.54,29.85,33.95,0.14,28.62,19.58,5.38,41.9
02-12-2018,100,17.28,29.5,34.28,0.145,28.61,19.55,5.25,42.02
02-09-2018,98.44,17.2,32.7,33.43,0.21,28.36,19.47,5.13,41.64
02-08-2018,101.21,17.71,32,33.59,0.135,29.1,19.57,5.25,41.63
02-07-2018,100.35,17.39,30.4,32.83,0.185,29.3,19.9,5.27,41.63
02-06-2018,100,17.14,29.3,32.14,0.15,28.29,19.78,5.23,41.57
02-05-2018,103,17.66,30.45,32.64,0.1751,30.2,20.08,5.4,42.86
02-02-2018,106.4,17.85,30.8,32.93,0.134,29.84,20.99,5.455,44.3
02-01-2018,108.11,18.09,30.6,34.15,0.12,30.89,21.65,5.45,44.43
1/31/2018,108.19,18.25,30.95,35.2,0.16,31.11,21.86,5.47,44.65
1/30/2018,108.11,18.23,30.3,35.81,0.08,30.88,21.43,5.51,44.23
1/29/2018,109.2,18.57,31.15,37.09,0.12,31.3,21.76,5.59,44.3
1/26/2018,106.7,18.5,31.15,37.54,0.145,31.19,21.76,5.59,44.78
1/25/2018,106.82,18.53,31.3,39,0.0909,31.75,21.85,5.52,44.59
1/24/2018,108.27,18.59,30.6,39.81,0.1,31.78,21.49,5.41,44.84
1/23/2018,105.87,18.41,30.8,39.26,0.0828,32.89,21.65,5.44,44.8
1/22/2018,107.69,18.07,32.1,38.7,0.081,33.1,20.68,5.46,44.16
1/19/2018,105.2,17.91,31.5,38.57,0.073,32.85,20.92,5.82,44.78
1/18/2018,105.38,18.16,31.45,38.53,0.061,32.81,20.55,5.86,44.21
1/17/2018,103.98,18.1,32,38.85,0.06,33.11,21.15,5.94,41.77
1/16/2018,103.5,17.75,31.85,38.23,0.0611,32.99,20.97,5.84,41.11
01-12-2018,101.24,16.92,31.9,38.11,0.0611,34.23,21.45,5.7,41.2
01-11-2018,101.34,17.14,31.85,38,0.061,33.91,21.34,5.72,40.68
01-10-2018,101.6,16.7,32.2,37.91,0.0611,33.89,21.16,5.76,40.54
01-09-2018,100.8,16.55,31.6,38.3,0.0611,34.05,21.45,5.68,40.7
01-08-2018,100.97,16.38,30.6,38.74,0.0611,33.96,21.63,5.56,39.85
01-05-2018,101.5,16.17,29.55,38.63,0.0611,33.86,21.54,5.65,39.25
01-04-2018,101.8,16.2,30.75,37.7,0.07,33.75,21.78,5.68,39.53
01-03-2018,101.99,16.24,31.35,37.07,0.0848,33.93,21.11,5.68,40.03
01-02-2018,102.68,16.27,30,37.38,0.0675,34.1,20.94,5.5,40.26
12/29/2017,101.26,16.34,29.95,37.4,0.03,33.25,20.92,5.47,40.24
12/28/2017,100.98,16.24,29.85,37.54,0.042,32.51,20.85,5.45,40.39
12/27/2017,99.73,16.19,29.85,37.03,0.042,32.79,20.52,5.5,40.38
12/26/2017,100.21,16.13,29.9,36.46,0.0505,32.71,20.2,5.5,40.35
12/22/2017,100.5,16.31,29.8,36.31,0.0504,32.76,19.97,5.59,40.82
12/21/2017,100.04,16.17,29.05,36.82,0.0503,32.67,19.88,5.58,41.07
12/20/2017,99.92,16.05,29.55,36.86,0.0503,32.67,19.93,5.6,40.9
12/19/2017,98.94,15.97,29.95,37.45,0.05,32.39,19.89,5.48,40.98
12/18/2017,98.51,16.07,30.25,37.36,0.052,31.51,19.31,5.38,40.85
12/15/2017,98.3,16.02,30.6,36.92,0.0502,31.46,18.89,5.37,40.15
12/14/2017,96.66,15.93,30.05,36.08,0.06,31.36,18.04,5.38,40.6
12/13/2017,97.27,15.9,29.7,35.3,0.0503,31.18,17.74,5.31,40.86
12-12-2017,95.34,15.85,29.25,35,0.0503,31.47,18.11,5.3,40.58
12-11-2017,95.3,15.72,29,34.28,0.0503,31.58,18.02,5.27,40.84
12-08-2017,96.39,15.61,29.25,34.19,0.0502,31.62,18.21,5.2,41.08
12-07-2017,94.3,15.65,28.9,34.03,0.05,30.79,17.53,5.17,40.68
12-06-2017,94,15.58,28.9,34.1,0.073,30.7,17.48,5.14,40.66
12-05-2017,94.96,15.52,28.25,34.43,0.045,31.16,17.76,5.1,40.8
12-04-2017,96.32,15.6,29,34.91,0.05,31.3,17.93,5.2,41.35
12-01-2017,96.91,15.28,30.2,34.45,0.09,31,17.77,5.3,41.28
11/30/2017,97.73,15.42,29.6,35.4,0.0436,31.24,18.3,5.31,41.49
11/29/2017,98.23,15.56,29.05,35.28,0.0371,31.88,18.49,5.35,41.61
11/28/2017,98,15.44,28.95,35.26,0.051,32.25,18.88,5.34,41.25
11/27/2017,98.16,15.59,28.15,35.5,0.0571,32.5,19.07,5.31,41.47
11/24/2017,98.29,15.52,28.5,35.51,0.0541,32.9,18.94,5.29,41.55
11/22/2017,97.1,15.13,27.7,36.13,0.0571,32.81,19.1,5.3,40.65
11/21/2017,97.15,15.17,27.8,36.61,0.0571,32.5,19.26,5.3,40.44
11/20/2017,96.56,15.13,27.5,35,0.057,32.47,19.3,5.25,40.48
11/17/2017,95.02,15.15,27.35,35.67,0.0614,32.08,18.86,5.3,39.95
11/16/2017,94.95,15.23,25.35,35.83,0.057,31.65,18.5,5.17,39.8
11/15/2017,92.78,14.88,25.55,35.23,0.057,31.16,18.1,5.09,39.98
11/14/2017,93.18,14.81,25.9,35.28,0.061,31.54,18.93,5.07,39.73
11/13/2017,93.3,14.9,26.9,35.5,0.061,31.81,19.36,5.03,39.7
11-10-2017,94.7,14.99,27.2,35.64,0.061,32.22,19.83,5.07,39.62
11-09-2017,94.95,14.85,26.95,36.21,0.061,33.41,20.01,5.13,39.3
11-08-2017,95.32,14.88,27.15,35.89,0.061,33.64,20.09,5.1,39
11-07-2017,94.98,15.01,27.15,36.37,0.0707,34.33,20.74,5.2,39.69
11-06-2017,94.16,14.67,27.15,36.65,0.0993,35.17,21.04,5.19,39.4
11-03-2017,94.98,14.68,27.3,37.23,0.0994,33.56,21.15,5.19,39
11-02-2017,93.24,14.69,24.55,36.8,0.055,33.3,21.35,5.25,38.67
11-01-2017,93.01,14.895,26.25,35.87,0.0521,33.53,21.23,5.36,37.8
10/31/2017,91.67,14.71,25.8,36.48,0.07,32.95,20.74,5.24,37.68
