Date,HDB,INFY,MMYT,RDY,REDFY,TTM,VEDL,WIT,WNS
3/23/2018,"5,78,053","62,11,111","2,91,898","1,83,964",0,"19,83,247","6,64,452","18,64,337","3,49,167"
3/22/2018,"9,20,410","63,94,041","3,20,316","1,93,505","8,300","13,27,976","7,73,723","36,79,212","2,14,903"
3/21/2018,"4,53,393","58,60,128","2,71,930","2,07,680","3,721","17,29,745","6,58,983","18,80,412","3,28,139"
3/20/2018,"4,86,032","58,57,033","1,27,882","2,56,379",100,"18,60,600","3,18,369","54,03,225","1,86,213"
3/19/2018,"5,72,692","57,86,147","1,58,417","2,61,251",274,"18,98,359","3,68,529","30,03,036","1,24,500"
3/16/2018,"8,29,921","49,09,019","2,51,956","3,76,483","1,253","24,89,354","7,58,727","17,70,298","1,98,815"
3/15/2018,"5,87,845","31,84,790","3,64,394","2,46,444","4,610","10,63,648","3,12,013","17,75,871","1,14,982"
3/14/2018,"6,37,953","25,60,145","4,60,440","2,62,741","2,360","12,04,277","2,93,113","18,77,625","2,12,607"
3/13/2018,"7,22,321","28,19,320","8,88,285","2,93,384","2,700","14,61,699","5,15,784","17,04,474","1,73,975"
03-12-2018,"3,94,303","58,23,294","5,22,050","1,87,169","16,147","17,35,673","4,34,436","18,10,554","1,32,711"
03-09-2018,"8,08,973","49,36,984","4,46,433","2,64,185","1,200","14,42,680","5,14,556","5,27,033","1,76,248"
03-08-2018,"9,58,626","39,16,414","2,12,869","2,95,374","10,740","12,59,107","7,41,141","6,07,914","1,45,892"
03-07-2018,"9,78,528","28,87,499","3,41,886","2,54,498","1,426","10,83,578","6,48,639","6,41,007","2,34,100"
03-06-2018,"5,30,691","62,34,611","5,36,188","3,58,339","17,069","15,51,091","8,59,889","8,21,947","1,14,478"
03-05-2018,"7,21,761","42,80,298","5,22,872","1,96,529","24,800","19,09,507","1,67,395","4,84,751","1,65,095"
03-02-2018,"4,65,108","33,10,427","4,15,042","1,21,711","8,031","12,44,269","4,37,108","5,23,576","1,16,414"
03-01-2018,"6,02,845","52,27,418","3,21,146","1,71,071","36,632","12,11,274","3,74,171","12,25,259","1,18,979"
2/28/2018,"4,26,033","85,36,881","3,41,361","2,34,245","18,051","6,79,719","4,61,081","12,65,427","1,75,053"
2/27/2018,"4,01,545","47,21,161","4,91,934","3,18,075","5,410","11,02,897","3,71,893","10,04,488","1,37,240"
2/26/2018,"6,51,403","35,66,204","3,15,437","2,88,821","5,957","20,02,668","3,07,660","7,15,928","2,04,464"
2/23/2018,"6,01,456","37,03,350","2,04,338","3,04,256",0,"12,05,127","2,86,202","5,73,824","3,29,408"
2/22/2018,"6,06,828","41,67,262","3,26,140","4,37,127","2,000","17,97,478","4,94,410","11,38,637","5,43,865"
2/21/2018,"6,53,136","40,71,928","3,84,849","2,34,153",500,"15,32,907","7,65,509","9,45,577","2,55,481"
2/20/2018,"4,89,014","33,77,097","2,46,395","4,41,539","2,825","11,21,394","5,10,699","7,69,057","1,45,714"
2/16/2018,"4,36,637","28,88,880","4,84,115","1,48,748","2,008","7,82,552","5,92,451","12,72,667","74,834"
2/15/2018,"5,67,927","50,74,104","5,11,497","1,98,473","11,000","7,09,394","3,24,496","6,83,714","81,964"
2/14/2018,"5,43,452","65,43,447","4,02,843","1,55,323",500,"10,33,174","6,07,393","14,15,682","1,14,736"
2/13/2018,"3,69,775","46,66,717","2,61,059","2,27,608","6,900","6,01,509","5,09,289","19,82,199","82,220"
02-12-2018,"5,47,585","90,96,883","4,76,586","2,24,004",250,"11,87,914","7,23,465","36,17,637","1,53,977"
02-09-2018,"6,90,765","1,24,26,780","5,62,193","3,74,070",100,"18,92,845","13,77,720","26,30,387","1,87,556"
02-08-2018,"7,86,961","51,39,412","9,90,654","4,55,166",300,"18,79,226","5,55,288","16,40,919","3,08,695"
02-07-2018,"7,83,246","47,47,025","4,75,663","4,37,570","15,525","15,14,593","8,96,034","21,33,115","1,97,465"
02-06-2018,"16,04,378","65,51,115","4,76,971","4,52,008","1,460","22,80,296","8,49,729","15,22,897","2,61,818"
02-05-2018,"11,26,944","67,41,236","4,79,626","2,99,313","5,800","21,40,879","10,38,916","21,58,288","1,85,936"
02-02-2018,"10,87,150","76,40,060","6,37,259","3,01,797","12,163","18,71,337","4,93,917","16,54,006","1,86,768"
02-01-2018,"6,93,028","54,39,319","4,18,850","4,85,503","42,800","11,05,529","3,63,497","17,10,280","2,06,623"
1/31/2018,"9,84,632","95,69,276","2,28,046","4,44,264","36,950","14,81,423","2,92,867","15,87,370","1,33,744"
1/30/2018,"4,22,453","62,94,747","2,87,060","4,17,424","24,848","12,65,468","5,05,148","26,09,193","1,92,647"
1/29/2018,"7,05,328","62,70,374","2,61,109","5,96,510","36,450","10,73,636","5,53,215","17,49,893","1,16,697"
1/26/2018,"5,55,867","37,71,393","1,90,196","6,04,660","11,424","11,78,713","5,71,075","16,02,375","1,09,363"
1/25/2018,"8,26,957","48,99,074","2,95,784","14,08,409","7,275","26,78,851","7,10,681","12,70,751","1,99,733"
1/24/2018,"5,52,431","79,16,739","2,23,991","5,51,716","37,260","22,39,017","7,17,725","19,42,614","2,59,370"
1/23/2018,"6,16,535","60,04,466","2,78,551","1,88,801","94,408","20,51,942","9,33,242","9,20,103","2,66,694"
1/22/2018,"12,95,864","96,41,401","2,65,282","1,64,267","1,427","15,05,179","5,56,761","45,87,698","4,64,923"
1/19/2018,"5,90,716","38,08,242","2,43,257","2,30,858","84,146","11,58,274","3,51,549","12,31,126","3,13,415"
1/18/2018,"6,79,712","87,16,582","90,504","2,89,686","46,655","21,82,126","6,39,006","7,81,303","6,47,970"
1/17/2018,"9,55,796","1,27,93,010","1,25,617","1,89,032","8,605","9,57,006","4,38,095","14,17,436","3,87,597"
1/16/2018,"8,71,426","1,71,37,270","2,55,907","1,99,679","1,450","22,11,596","6,28,388","18,68,035","1,91,875"
01-12-2018,"4,34,389","88,07,002","1,53,559","1,74,182",0,"9,20,403","4,28,162","6,54,652","1,53,802"
01-11-2018,"4,30,027","1,75,86,280","1,64,169","1,37,283",450,"11,75,551","5,33,047","7,13,343","1,18,259"
01-10-2018,"4,16,474","82,26,205","1,91,552","2,54,106",0,"8,62,855","3,83,142","8,06,878","1,42,807"
01-09-2018,"8,19,604","64,62,247","2,89,510","2,78,020","1,083","13,25,067","5,20,790","6,75,125","3,74,348"
01-08-2018,"4,35,739","55,99,147","2,25,577","3,00,752",0,"19,85,433","6,15,633","9,70,308","1,95,403"
01-05-2018,"9,48,918","49,05,733","2,16,869","2,83,631",0,"13,80,342","5,51,377","12,10,067","6,56,955"
01-04-2018,"4,11,097","81,36,004","4,25,812","1,98,614","4,479","11,54,555","6,59,288","16,10,444","6,40,553"
01-03-2018,"5,13,162","51,25,449","2,98,229","3,61,780","8,950","22,36,922","4,40,776","15,08,021","3,13,987"
01-02-2018,"4,03,524","61,49,106","3,38,831","2,29,347","8,150","15,03,414","6,58,415","16,76,436","1,29,259"
12/29/2017,"3,96,941","35,51,855","2,06,952","3,54,413","55,700","15,36,786","3,14,452","5,12,499","52,748"
12/28/2017,"2,84,858","26,58,085","1,29,734","3,77,082","15,545","6,73,098","4,89,313","11,10,932","1,39,415"
12/27/2017,"6,01,848","46,61,298","2,15,303","1,86,603","8,520","4,88,390","3,65,157","4,20,564","75,800"
12/26/2017,"2,38,110","20,49,831","1,35,622","85,472","2,15,468","5,56,017","2,45,271","2,45,866","50,533"
12/22/2017,"3,33,662","38,26,714","91,377","92,321","20,900","5,70,712","3,02,182","9,85,443","1,36,288"
12/21/2017,"6,08,439","43,64,103","2,71,193","1,08,603","3,785","6,31,221","4,98,002","7,82,855","91,549"
12/20/2017,"5,24,628","33,46,446","2,58,930","1,69,958","10,002","7,78,916","3,59,789","7,69,678","2,42,642"
12/19/2017,"5,45,499","25,54,590","1,22,756","2,95,598","20,675","13,45,145","4,55,871","24,17,589","2,03,670"
12/18/2017,"3,47,073","37,54,121","3,75,988","1,99,036","11,560","7,86,679","4,75,793","21,11,532","1,58,974"
12/15/2017,"5,86,304","47,98,503","3,62,448","5,92,398","33,079","9,24,502","11,13,383","34,32,044","4,69,195"
12/14/2017,"6,13,778","46,35,798","2,45,149","6,32,489","8,421","7,52,202","4,56,207","11,84,497","1,29,427"
12/13/2017,"5,95,196","58,06,769","3,50,313","6,68,804","10,940","8,14,087","6,38,154","12,66,824","1,16,060"
12-12-2017,"14,47,815","50,89,141","1,84,859","4,35,307","1,170","7,74,334","3,43,051","8,45,681","2,22,598"
12-11-2017,"7,08,896","31,78,236","2,07,770","4,53,904","2,628","11,31,995","3,76,473","9,37,073","1,46,495"
12-08-2017,"2,65,592","30,51,929","2,88,680","2,47,100","3,622","9,48,237","2,87,076","6,10,269","1,95,247"
12-07-2017,"3,96,349","29,80,368","1,32,644","1,93,240","10,637","9,14,626","5,14,938","4,36,434","4,01,795"
12-06-2017,"4,95,888","41,61,775","1,72,231","2,03,064","23,400","9,26,214","4,40,387","7,06,939","1,60,203"
12-05-2017,"3,47,135","56,26,636","3,55,593","95,287","1,338","5,40,347","4,64,228","18,94,061","58,779"
12-04-2017,"8,35,416","70,42,971","5,08,811","2,15,709","15,350","9,59,493","6,00,956","10,10,878","1,93,286"
12-01-2017,"6,37,839","55,31,518","2,91,924","2,25,320","7,323","9,63,432","7,64,425","23,64,049","1,30,741"
11/30/2017,"4,72,538","50,45,113","6,91,918","4,78,255","11,415","12,70,386","5,21,223","36,12,590","1,10,808"
11/29/2017,"3,11,403","26,36,997","3,45,928","3,06,371","16,396","13,17,438","3,64,498","17,41,969","2,15,995"
11/28/2017,"4,08,725","38,38,481","2,42,765","1,65,965","2,600","6,92,794","1,98,540","10,62,729","89,705"
11/27/2017,"3,85,515","50,65,038","3,31,294","2,64,378","7,150","9,72,508","2,63,054","10,80,110","1,07,469"
11/24/2017,"1,85,785","67,27,760","2,13,570","1,13,502",950,"5,04,454","1,61,232","3,65,761","73,022"
11/22/2017,"4,50,890","17,42,509","3,54,446","3,46,639",638,"6,17,698","2,38,708","8,69,953","1,77,846"
11/21/2017,"3,28,980","30,95,969","2,10,473","2,18,936","3,050","6,01,697","3,37,186","13,64,502","1,75,492"
11/20/2017,"5,52,616","20,87,293","3,51,412","3,47,233",600,"6,70,426","4,87,869","18,08,881","1,57,276"
11/17/2017,"4,44,033","32,14,438","3,25,479","1,62,634",0,"12,05,655","3,44,368","11,51,934","1,72,849"
11/16/2017,"3,82,847","59,50,153","8,65,547","3,12,571","34,108","9,89,183","4,14,501","20,33,884","1,61,647"
11/15/2017,"4,88,917","20,88,980","2,58,185","3,21,883","6,100","14,13,768","8,06,379","11,18,108","1,06,752"
11/14/2017,"4,22,130","46,52,058","3,36,181","1,64,560",225,"15,00,820","5,45,871","18,71,768","1,25,490"
11/13/2017,"3,46,357","29,19,428","3,45,845","3,09,523","3,233","10,96,373","4,04,350","20,84,305","1,15,004"
11-10-2017,"3,93,231","38,42,967","2,29,272","2,75,993",0,"23,91,320","2,59,543","8,60,464","1,23,483"
11-09-2017,"3,69,017","46,05,656","2,93,182","3,51,823",0,"30,31,178","4,17,660","14,81,764","1,70,485"
11-08-2017,"5,46,814","29,99,752","3,65,816","3,83,239","4,910","29,54,447","4,52,336","20,41,924","1,30,406"
11-07-2017,"5,37,592","46,77,605","4,40,765","3,07,332","17,300","46,23,432","2,60,413","30,92,579","1,18,091"
11-06-2017,"3,74,155","26,28,031","4,62,711","1,76,759","7,000","35,04,694","2,78,351","13,86,049","6,77,804"
11-03-2017,"2,83,154","23,47,300","8,43,448","4,25,297","30,300","27,31,165","2,14,608","17,32,254","3,15,168"
11-02-2017,"6,20,316","31,64,925","6,83,397","7,84,816","5,710","16,16,820","2,41,599","12,19,202","1,49,548"
11-01-2017,"6,33,539","48,56,597","21,01,251","4,09,087","1,300","21,26,029","3,45,977","14,50,224","2,25,610"
10/31/2017,"7,86,944","70,04,924","13,48,798","7,82,068","26,050","11,56,256","9,43,345","10,92,210","1,61,064"
10/30/2017,"9,23,138","60,66,893","20,59,219","6,74,038","19,221","17,08,158","3,74,763","16,88,775","2,63,684"
10/27/2017,"14,33,590","74,65,044","8,06,870","4,37,248","2,800","8,60,394","3,54,341","36,29,914","2,61,053"
10/26/2017,"11,02,297","66,69,095","5,29,211","2,07,547","6,000","6,69,582","4,14,161","19,84,837","2,13,004"
10/25/2017,"18,55,910","82,82,590","3,43,745","1,65,224","50,451","7,32,503","3,44,210","22,86,175","92,216"
10/24/2017,"9,80,651","1,17,64,500","4,78,488","1,72,561","77,300","8,99,830","3,13,395","18,64,194","80,218"
10/23/2017,"6,26,048","95,44,174","3,06,487","1,18,792","39,309","9,45,064","3,45,885","7,36,938","89,586"
10/20/2017,"5,59,881","59,83,709","5,51,563","1,28,883","7,877","7,45,164","2,21,162","7,90,898","65,803"
10/19/2017,"5,33,430","26,97,367","5,18,957","1,14,025",0,"8,51,872","2,77,557","17,88,128","1,56,358"
10/18/2017,"9,69,993","39,02,365","2,71,880","3,82,010","1,269","8,83,557","3,28,368","18,17,071","69,417"
10/17/2017,"8,96,607","75,57,081","4,27,918","1,43,560","5,625","12,52,905","4,11,081","31,62,048","1,79,432"
10/16/2017,"8,48,426","58,91,183","11,15,915","1,99,999","1,54,398","14,12,654","4,43,787","13,65,992","1,53,779"
